player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
232293,/player/232293/victor-osimhen/240002,24,2,9/22/23,V. Osimhen,Victor James Osimhen,ST,88,91,126500000,120000,24,12/29/98,185,78,48,Napoli,31,Serie A,1,ST,9,,9/1/20,2025,133,Nigeria,,,,Right,4,3,3,High/Medium,Lean (185+),Yes,224500000,,"Chip Shot, Power Header, Rapid, Acrobatic",90,86,66,83,42,82,62,91,84,74,83,83,63,52,54,86,87,92,78,89,68,86,94,81,86,77,68,34,90,70,75,80,36,45,22,14,14,10,9,6,,87+3,87+3,87+3,82,85,85,85,82,81+3,81+3,81+3,80+3,73+3,73+3,73+3,80+3,62+3,60+3,60+3,60+3,62+3,60+3,57+3,57+3,57+3,60+3,19+3
231478,/player/231478/lautaro-martinez/240002,24,2,9/22/23,L. Martínez,Lautaro Javier Martínez,ST,87,90,107000000,150000,25,8/22/97,174,72,44,Inter,31,Serie A,1,LS,10,,7/5/18,2026,52,Argentina,1369,SUB,22,Right,4,4,3,High/Medium,Unique,Yes,189900000,#Acrobat,"Technical, Flair, Trivela",80,86,71,85,48,85,58,90,86,75,91,84,78,54,73,86,83,77,86,88,89,85,93,80,84,78,90,45,90,78,74,86,55,31,44,11,8,8,8,13,,86+3,86+3,86+3,82,84,84,84,82,82+3,82+3,82+3,80+3,76+3,76+3,76+3,80+3,64+3,66+3,66+3,66+3,64+3,62+3,62+3,62+3,62+3,62+3,18+3
215698,/player/215698/mike-maignan/240002,24,2,9/22/23,M. Maignan,Mike Maignan,GK,87,89,73000000,90000,27,7/3/95,191,89,47,Milan,31,Serie A,1,GK,16,,7/1/21,2026,18,France,1335,GK,16,Right,4,1,3,Medium/Medium,Normal (185+),Yes,129600000,,Far Throw,,,,,,,18,15,17,65,16,31,38,16,61,40,50,53,41,85,56,65,75,39,78,20,35,25,15,65,15,68,23,16,19,85,82,87,85,89,51,39+3,39+3,39+3,39,42,42,42,39,46+3,46+3,46+3,43+3,48+3,48+3,48+3,43+3,37+3,43+3,43+3,43+3,37+3,35+3,35+3,35+3,35+3,35+3,85+3
247635,/player/247635/khvicha-kvaratskhelia/240002,24,2,9/22/23,K. Kvaratskhelia,Khvicha Kvaratskhelia,"LW, RW",86,92,109000000,95000,22,2/12/01,183,70,48,Napoli,31,Serie A,1,LW,77,,7/1/22,2027,20,Georgia,,,,Right,5,5,2,Medium/Medium,Normal (170-185),Yes,207100000,#Dribbler,"Finesse Shot, Pinged Pass, Whipped Cross, Technical, Flair, Trickster, Trivela",84,80,81,87,41,71,78,82,62,83,64,89,82,65,76,88,83,84,85,84,73,78,77,79,70,83,62,40,84,86,65,82,38,39,34,9,15,8,14,8,,80+2,80+2,80+2,85,84,84,84,85,85+2,85+2,85+2,84+2,79+2,79+2,79+2,84+2,66+2,63+2,63+2,63+2,66+2,61+2,54+2,54+2,54+2,61+2,19+2
241721,/player/241721/rafael-da-conceicao-leao/240002,24,2,9/22/23,Rafael Leão,Rafael Alexandre Conceição Leão,"LW, CF, ST",86,91,102500000,110000,24,6/10/99,188,81,47,Milan,31,Serie A,1,LW,10,,8/1/19,2028,38,Portugal,1354,LW,17,Right,4,4,2,Medium/Low,Normal (185+),Yes,181900000,"#Speedster, #Dribbler","Rapid +, Finesse Shot, Whipped Cross, Flair, Trickster, Quick Step",93,80,75,87,27,76,78,84,65,80,74,89,80,60,63,87,93,93,85,84,80,80,85,77,80,74,60,24,84,75,63,83,22,24,21,10,12,15,11,9,,82+2,82+2,82+2,85,84,84,84,85,83+2,83+2,83+2,83+2,73+2,73+2,73+2,83+2,60+2,55+2,55+2,55+2,60+2,56+2,47+2,47+2,47+2,56+2,19+2
224232,/player/224232/nicolo-barella/240002,24,2,9/22/23,N. Barella,Nicolò Barella,CM,86,88,83500000,135000,26,2/7/97,175,68,44,Inter,31,Serie A,1,RCM,23,,9/1/20,2026,27,Italy,1343,RCM,18,Right,3,3,3,High/High,Normal (170-),Yes,148200000,"#Engine, #Acrobat","Relentless +, Tiki Taka, Slide Tackle",78,78,82,85,78,80,79,78,53,86,80,81,79,67,83,87,79,78,90,89,90,77,73,94,73,79,84,83,83,83,73,86,80,79,81,11,5,13,14,11,,78+3,78+3,78+3,83,82,82,82,83,84+3,84+3,84+3,83+3,85+3,85+3,85+3,83+3,83+3,84+3,84+3,84+3,83+3,82+3,78+3,78+3,78+3,82+3,19+3
186153,/player/186153/wojciech-szczesny/240002,24,2,9/22/23,W. Szczęsny,Wojciech Tomasz Szczęsny,GK,86,86,22000000,125000,33,4/18/90,195,90,45,Juventus,31,Serie A,1,GK,1,,7/19/17,2025,37,Poland,1353,GK,1,Right,3,1,3,Medium/Medium,Lean (185+),Yes,37400000,,Far Throw,,,,,,,12,12,16,32,14,11,16,14,36,22,51,47,55,82,51,55,70,45,65,14,40,15,14,48,18,65,20,13,12,86,83,73,86,87,49,31+3,31+3,31+3,28,31,31,31,28,32+3,32+3,32+3,31+3,33+3,33+3,33+3,31+3,28+3,31+3,31+3,31+3,28+3,28+3,29+3,29+3,29+3,28+3,84+2
211110,/player/211110/paulo-dybala/240002,24,2,9/22/23,P. Dybala,Paulo Bruno Exequiel Dybala,"CF, CAM",86,86,68000000,130000,29,11/15/93,177,75,52,Roma,31,Serie A,1,RS,21,,7/20/22,2025,52,Argentina,1369,SUB,21,Left,3,4,3,High/Low,Unique,Yes,115600000,"#Dribbler, #Playmaker, #FK Specialist, #Complete midfielder","Flair +, Finesse Shot, Dead Ball, Technical, First Touch, Trivela, Acrobatic",80,85,85,90,40,60,82,83,58,86,90,90,89,88,79,93,84,76,88,79,90,84,73,72,60,89,43,42,82,91,87,79,32,41,39,5,4,4,5,8,,81+3,81+3,81+3,86,85,85,85,86,87-1,87-1,87-1,85+1,81+3,81+3,81+3,85+1,66+3,63+3,63+3,63+3,66+3,61+3,51+3,51+3,51+3,61+3,14+3
232656,/player/232656/theo-hernandez/240002,24,2,9/22/23,T. Hernández,Theo Bernard François Hernández,"LB, LM",85,90,73500000,90000,25,10/6/97,184,81,47,Milan,31,Serie A,1,LB,19,,7/5/19,2026,18,France,1335,LB,22,Left,3,3,3,High/Medium,Unique,Yes,130500000,#Speedster,"Rapid, Quick Step, Relentless, Long Throw",93,71,76,81,78,84,84,67,74,79,66,83,69,64,68,79,92,94,78,85,76,83,90,90,81,71,82,78,80,73,50,80,74,81,80,12,10,7,7,7,,79+3,79+3,79+3,81,80,80,80,81,78+3,78+3,78+3,81+3,78+3,78+3,78+3,81+3,83+3,79+3,79+3,79+3,83+3,82+3,79+3,79+3,79+3,82+3,17+3
237383,/player/237383/alessandro-bastoni/240002,24,2,9/22/23,A. Bastoni,Alessandro Bastoni,CB,85,90,73500000,95000,24,4/13/99,190,75,44,Inter,31,Serie A,1,LCB,95,,8/31/17,2028,27,Italy,1343,LCB,23,Left,3,2,2,Medium/High,Unique,Yes,130500000,#Tactician ,"Incisive Pass, Long Ball Pass, Jockey",73,35,72,73,86,83,70,26,83,78,35,73,53,36,82,76,68,77,58,86,57,49,86,81,83,37,83,87,39,69,47,84,87,87,83,11,5,9,11,12,,59+2,59+2,59+2,65,63,63,63,65,66+2,66+2,66+2,69+2,73+2,73+2,73+2,69+2,80+2,82+2,82+2,82+2,80+2,81+2,84+2,84+2,84+2,81+2,18+2
